NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
amf,0.05%,8.742MiB / 15.55GiB,12.6kB / 5.11kB,0B / 20.5kB,4
upf,0.00%,22.26MiB / 15.55GiB,6.92kB / 235B,0B / 16.4kB,4
pcf,1.60%,8.352MiB / 15.55GiB,41.5kB / 5.03kB,0B / 16.4kB,4
bsf,1.45%,7.488MiB / 15.55GiB,7.78kB / 1.73kB,0B / 16.4kB,4
nssf,0.04%,7.449MiB / 15.55GiB,8.1kB / 2.15kB,0B / 12.3kB,4
udr,1.71%,8.055MiB / 15.55GiB,38.5kB / 2.78kB,0B / 16.4kB,4
smf,0.18%,30.06MiB / 15.55GiB,14kB / 5.64kB,0B / 147kB,40
udm,0.09%,7.59MiB / 15.55GiB,10.7kB / 4.25kB,0B / 12.3kB,4
ausf,0.04%,7.602MiB / 15.55GiB,11.6kB / 3.41kB,4.1kB / 12.3kB,4
nrf,0.34%,8.754MiB / 15.55GiB,34.8kB / 29.5kB,0B / 8.19kB,4
mongo,0.38%,140.7MiB / 15.55GiB,9.56kB / 61.3kB,8.19kB / 258kB,27
21:19:24.878
NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
amf,0.03%,8.746MiB / 15.55GiB,12.9kB / 5.48kB,0B / 20.5kB,4
upf,0.02%,22.27MiB / 15.55GiB,7.08kB / 351B,0B / 16.4kB,4
pcf,0.00%,8.352MiB / 15.55GiB,41.5kB / 5.03kB,0B / 16.4kB,4
bsf,0.00%,7.488MiB / 15.55GiB,7.82kB / 1.73kB,0B / 16.4kB,4
nssf,0.00%,7.449MiB / 15.55GiB,8.14kB / 2.15kB,0B / 12.3kB,4
udr,0.00%,8.055MiB / 15.55GiB,38.5kB / 2.78kB,0B / 16.4kB,4
smf,0.03%,30.07MiB / 15.55GiB,14.1kB / 5.8kB,0B / 147kB,40
udm,0.00%,7.59MiB / 15.55GiB,10.8kB / 4.25kB,0B / 12.3kB,4
ausf,0.00%,7.602MiB / 15.55GiB,11.6kB / 3.41kB,4.1kB / 12.3kB,4
nrf,0.02%,8.762MiB / 15.55GiB,35.2kB / 29.7kB,0B / 8.19kB,4
mongo,0.16%,140.7MiB / 15.55GiB,9.61kB / 61.3kB,8.19kB / 258kB,27
21:19:25.909
NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
amf,0.00%,8.746MiB / 15.55GiB,12.9kB / 5.48kB,0B / 20.5kB,4
upf,0.00%,22.27MiB / 15.55GiB,7.08kB / 351B,0B / 16.4kB,4
pcf,0.00%,8.352MiB / 15.55GiB,41.5kB / 5.03kB,0B / 16.4kB,4
bsf,0.00%,7.488MiB / 15.55GiB,7.82kB / 1.73kB,0B / 16.4kB,4
nssf,0.00%,7.449MiB / 15.55GiB,8.14kB / 2.15kB,0B / 12.3kB,4
udr,0.00%,8.055MiB / 15.55GiB,38.5kB / 2.78kB,0B / 16.4kB,4
smf,0.01%,30.07MiB / 15.55GiB,14.1kB / 5.8kB,0B / 147kB,40
udm,0.00%,7.59MiB / 15.55GiB,10.8kB / 4.25kB,0B / 12.3kB,4
ausf,0.00%,7.602MiB / 15.55GiB,11.6kB / 3.41kB,4.1kB / 12.3kB,4
nrf,0.00%,8.762MiB / 15.55GiB,35.2kB / 29.7kB,0B / 8.19kB,4
mongo,0.18%,140.7MiB / 15.55GiB,9.68kB / 61.3kB,8.19kB / 258kB,27
21:19:26.966
NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
amf,0.00%,8.746MiB / 15.55GiB,13kB / 5.48kB,0B / 20.5kB,4
upf,0.00%,22.27MiB / 15.55GiB,7.17kB / 351B,0B / 16.4kB,4
pcf,0.00%,8.352MiB / 15.55GiB,41.6kB / 5.03kB,0B / 16.4kB,4
bsf,0.00%,7.488MiB / 15.55GiB,7.91kB / 1.73kB,0B / 16.4kB,4
nssf,0.00%,7.449MiB / 15.55GiB,8.3kB / 2.15kB,0B / 12.3kB,4
udr,0.00%,8.055MiB / 15.55GiB,38.7kB / 2.78kB,0B / 16.4kB,4
smf,0.01%,30.07MiB / 15.55GiB,14.2kB / 5.8kB,0B / 147kB,40
udm,0.00%,7.59MiB / 15.55GiB,10.9kB / 4.25kB,0B / 12.3kB,4
ausf,0.00%,7.602MiB / 15.55GiB,11.8kB / 3.41kB,4.1kB / 12.3kB,4
nrf,0.00%,8.762MiB / 15.55GiB,35.3kB / 29.7kB,0B / 8.19kB,4
mongo,0.14%,140.7MiB / 15.55GiB,9.76kB / 61.3kB,8.19kB / 258kB,27
21:19:27.996
NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
amf,0.00%,8.746MiB / 15.55GiB,13kB / 5.48kB,0B / 20.5kB,4
upf,0.00%,22.27MiB / 15.55GiB,7.24kB / 351B,0B / 16.4kB,4
pcf,0.00%,8.352MiB / 15.55GiB,41.6kB / 5.03kB,0B / 16.4kB,4
bsf,0.00%,7.488MiB / 15.55GiB,7.98kB / 1.73kB,0B / 16.4kB,4
nssf,0.00%,7.449MiB / 15.55GiB,8.3kB / 2.15kB,0B / 12.3kB,4
udr,0.00%,8.055MiB / 15.55GiB,38.7kB / 2.78kB,0B / 16.4kB,4
smf,0.01%,30.07MiB / 15.55GiB,14.3kB / 5.8kB,0B / 147kB,40
udm,0.00%,7.59MiB / 15.55GiB,10.9kB / 4.25kB,0B / 12.3kB,4
ausf,0.00%,7.602MiB / 15.55GiB,11.8kB / 3.41kB,4.1kB / 12.3kB,4
nrf,0.00%,8.762MiB / 15.55GiB,35.3kB / 29.7kB,0B / 8.19kB,4
mongo,0.30%,140.7MiB / 15.55GiB,9.76kB / 61.3kB,8.19kB / 258kB,27
21:19:29.050
NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
amf,0.00%,8.746MiB / 15.55GiB,13.1kB / 5.48kB,0B / 20.5kB,4
upf,0.00%,22.27MiB / 15.55GiB,7.34kB / 351B,0B / 16.4kB,4
pcf,0.00%,8.352MiB / 15.55GiB,41.8kB / 5.07kB,0B / 16.4kB,4
bsf,0.00%,7.488MiB / 15.55GiB,8.13kB / 1.77kB,0B / 16.4kB,4
nssf,0.00%,7.449MiB / 15.55GiB,8.4kB / 2.15kB,0B / 12.3kB,4
udr,0.00%,8.055MiB / 15.55GiB,38.8kB / 2.86kB,0B / 16.4kB,4
smf,0.01%,30.07MiB / 15.55GiB,14.4kB / 5.8kB,0B / 147kB,40
udm,0.00%,7.59MiB / 15.55GiB,11kB / 4.25kB,0B / 12.3kB,4
ausf,0.00%,7.602MiB / 15.55GiB,11.9kB / 3.41kB,4.1kB / 12.3kB,4
nrf,0.00%,8.762MiB / 15.55GiB,35.5kB / 29.8kB,0B / 8.19kB,4
mongo,0.19%,140.7MiB / 15.55GiB,10.1kB / 61.4kB,8.19kB / 258kB,27
21:19:30.076
NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
amf,0.00%,8.746MiB / 15.55GiB,13.1kB / 5.48kB,0B / 20.5kB,4
upf,0.00%,22.27MiB / 15.55GiB,7.34kB / 351B,0B / 16.4kB,4
pcf,0.00%,8.352MiB / 15.55GiB,41.9kB / 5.07kB,0B / 16.4kB,4
bsf,0.00%,7.488MiB / 15.55GiB,8.13kB / 1.77kB,0B / 16.4kB,4
nssf,0.00%,7.449MiB / 15.55GiB,8.51kB / 2.15kB,0B / 12.3kB,4
udr,0.00%,8.055MiB / 15.55GiB,39kB / 2.86kB,0B / 16.4kB,4
smf,0.01%,30.07MiB / 15.55GiB,14.5kB / 5.8kB,0B / 147kB,40
udm,0.00%,7.59MiB / 15.55GiB,11.1kB / 4.25kB,0B / 12.3kB,4
ausf,0.00%,7.602MiB / 15.55GiB,12kB / 3.41kB,4.1kB / 12.3kB,4
nrf,0.00%,8.762MiB / 15.55GiB,35.6kB / 29.8kB,0B / 8.19kB,4
mongo,0.21%,140.7MiB / 15.55GiB,10.1kB / 61.4kB,8.19kB / 258kB,27
21:19:31.142
NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
amf,0.00%,8.746MiB / 15.55GiB,13.2kB / 5.48kB,0B / 20.5kB,4
upf,0.00%,22.27MiB / 15.55GiB,7.45kB / 351B,0B / 16.4kB,4
pcf,0.00%,8.352MiB / 15.55GiB,41.9kB / 5.07kB,0B / 16.4kB,4
bsf,0.00%,7.488MiB / 15.55GiB,8.24kB / 1.77kB,0B / 16.4kB,4
nssf,0.00%,7.449MiB / 15.55GiB,8.51kB / 2.15kB,0B / 12.3kB,4
udr,0.00%,8.055MiB / 15.55GiB,39kB / 2.86kB,0B / 16.4kB,4
smf,0.01%,30.07MiB / 15.55GiB,14.5kB / 5.8kB,0B / 147kB,40
udm,0.00%,7.59MiB / 15.55GiB,11.1kB / 4.25kB,0B / 12.3kB,4
ausf,0.00%,7.602MiB / 15.55GiB,12kB / 3.41kB,4.1kB / 12.3kB,4
nrf,0.00%,8.762MiB / 15.55GiB,35.6kB / 29.8kB,0B / 8.19kB,4
mongo,0.17%,140.7MiB / 15.55GiB,10.1kB / 61.4kB,8.19kB / 258kB,27
21:19:32.194
NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
amf,0.00%,8.746MiB / 15.55GiB,13.2kB / 5.48kB,0B / 20.5kB,4
upf,0.00%,22.27MiB / 15.55GiB,7.45kB / 351B,0B / 16.4kB,4
pcf,0.00%,8.352MiB / 15.55GiB,41.9kB / 5.07kB,0B / 16.4kB,4
bsf,0.00%,7.488MiB / 15.55GiB,8.24kB / 1.77kB,0B / 16.4kB,4
nssf,0.00%,7.449MiB / 15.55GiB,8.51kB / 2.15kB,0B / 12.3kB,4
udr,0.00%,8.055MiB / 15.55GiB,39kB / 2.86kB,0B / 16.4kB,4
smf,0.01%,30.07MiB / 15.55GiB,14.5kB / 5.8kB,0B / 147kB,40
udm,0.00%,7.59MiB / 15.55GiB,11.1kB / 4.25kB,0B / 12.3kB,4
ausf,0.00%,7.602MiB / 15.55GiB,12kB / 3.41kB,4.1kB / 12.3kB,4
nrf,0.00%,8.762MiB / 15.55GiB,35.6kB / 29.8kB,0B / 8.19kB,4
mongo,0.18%,140.7MiB / 15.55GiB,10.1kB / 61.4kB,8.19kB / 258kB,27
21:19:33.228
NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
amf,0.00%,8.746MiB / 15.55GiB,13.2kB / 5.48kB,0B / 20.5kB,4
upf,0.00%,22.27MiB / 15.55GiB,7.45kB / 351B,0B / 16.4kB,4
pcf,0.00%,8.352MiB / 15.55GiB,41.9kB / 5.07kB,0B / 16.4kB,4
bsf,0.00%,7.488MiB / 15.55GiB,8.24kB / 1.77kB,0B / 16.4kB,4
nssf,0.00%,7.449MiB / 15.55GiB,8.51kB / 2.15kB,0B / 12.3kB,4
udr,0.00%,8.055MiB / 15.55GiB,39kB / 2.86kB,0B / 16.4kB,4
smf,0.01%,30.07MiB / 15.55GiB,14.5kB / 5.8kB,0B / 147kB,40
udm,0.03%,7.605MiB / 15.55GiB,11.4kB / 4.59kB,0B / 12.3kB,4
ausf,0.04%,7.602MiB / 15.55GiB,12.2kB / 3.75kB,4.1kB / 12.3kB,4
nrf,0.04%,8.773MiB / 15.55GiB,36.3kB / 30.2kB,0B / 8.19kB,4
mongo,0.56%,140.7MiB / 15.55GiB,10.1kB / 61.4kB,8.19kB / 274kB,27
21:19:34.262
NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
amf,0.03%,8.746MiB / 15.55GiB,13.5kB / 5.83kB,0B / 20.5kB,4
upf,0.00%,22.27MiB / 15.55GiB,7.45kB / 351B,0B / 16.4kB,4
pcf,0.03%,8.367MiB / 15.55GiB,42.2kB / 5.44kB,0B / 16.4kB,4
bsf,0.04%,7.504MiB / 15.55GiB,8.47kB / 2.15kB,0B / 16.4kB,4
nssf,0.04%,7.453MiB / 15.55GiB,8.74kB / 2.49kB,0B / 12.3kB,4
udr,0.03%,8.07MiB / 15.55GiB,39.2kB / 3.23kB,0B / 16.4kB,4
smf,0.05%,30.08MiB / 15.55GiB,14.7kB / 6.14kB,0B / 147kB,40
udm,0.00%,7.605MiB / 15.55GiB,11.4kB / 4.59kB,0B / 12.3kB,4
ausf,0.00%,7.602MiB / 15.55GiB,12.2kB / 3.75kB,4.1kB / 12.3kB,4
nrf,0.11%,8.832MiB / 15.55GiB,38.5kB / 31.6kB,0B / 8.19kB,4
mongo,0.18%,140.7MiB / 15.55GiB,10.1kB / 61.4kB,8.19kB / 274kB,27
21:19:35.290
NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
amf,0.00%,8.746MiB / 15.55GiB,13.5kB / 5.83kB,0B / 20.5kB,4
upf,0.00%,22.27MiB / 15.55GiB,7.45kB / 351B,0B / 16.4kB,4
pcf,0.00%,8.367MiB / 15.55GiB,42.2kB / 5.44kB,0B / 16.4kB,4
bsf,0.00%,7.504MiB / 15.55GiB,8.47kB / 2.15kB,0B / 16.4kB,4
nssf,0.00%,7.453MiB / 15.55GiB,8.74kB / 2.49kB,0B / 12.3kB,4
udr,0.00%,8.07MiB / 15.55GiB,39.2kB / 3.23kB,0B / 16.4kB,4
smf,0.01%,30.08MiB / 15.55GiB,14.7kB / 6.14kB,0B / 147kB,40
udm,0.00%,7.605MiB / 15.55GiB,11.4kB / 4.59kB,0B / 12.3kB,4
ausf,0.00%,7.602MiB / 15.55GiB,12.2kB / 3.75kB,4.1kB / 12.3kB,4
nrf,0.00%,8.832MiB / 15.55GiB,38.5kB / 31.6kB,0B / 8.19kB,4
mongo,0.22%,140.7MiB / 15.55GiB,10.1kB / 61.4kB,8.19kB / 274kB,27
21:19:36.338
NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
amf,0.00%,8.746MiB / 15.55GiB,13.5kB / 5.83kB,0B / 20.5kB,4
upf,0.01%,22.28MiB / 15.55GiB,7.57kB / 467B,0B / 16.4kB,4
